Handle,Title,Body (HTML),Vendor,Product Category,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
classic-bikini,Classic Bikini,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Swimwear,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,10.00,,true,true,,,1,Classic Bikini,false,active
play-with-me-flutter-love-purple,Play With Me Flutter Love Purple,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,40.00,,true,true,,,1,Play With Me Flutter Love Purple,false,active
love-to-love-make-me-quiver-clitoral-arousal-serum-1-oz,Love to Love Make Me Quiver Clitoral Arousal Serum 1 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,24.00,,true,true,,,1,Love to Love Make Me Quiver Clitoral Arousal Serum 1 oz.,false,active
play-with-me-romantic-rose-pink,Play With Me Romantic Rose Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,21.00,,true,true,,,1,Play With Me Romantic Rose Pink,false,active
bang-g-spot-silicone-vibrator-pink,BANG! G-Spot Silicone Vibrator Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,30.00,,true,true,,,1,BANG! G-Spot Silicone Vibrator Pink,false,active
adam--eve-peak-wand-massager,Adam & Eve Peak Wand Massager,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,78.00,,true,true,,,1,Adam & Eve Peak Wand Massager,false,active
pocket-rocket-elite-rechargeable-bullet-with-removable-sleeve-pink,Pocket Rocket Elite Rechargeable Bullet With Removable Sleeve Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,49.00,,true,true,,,1,Pocket Rocket Elite Rechargeable Bullet With Removable Sleeve Pink,false,active
dame-kip-rechargeable-silicone-clit-stimulator-lemon,Dame Kip Rechargeable Silicone Clit Stimulator Lemon,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,55.25,,true,true,,,1,Dame Kip Rechargeable Silicone Clit Stimulator Lemon,false,active
zero-tolerance-double-dip-dual-ended-realistic-stroker-with-movie-download-white,Zero Tolerance Double Dip Dual-Ended Realistic Stroker with Movie Download White,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,26.00,,true,true,,,1,Zero Tolerance Double Dip Dual-Ended Realistic Stroker with Movie Download White,false,active
love-to-love-make-me-shiver-frenulum-stimulating-serum-1-oz,Love to Love Make Me Shiver Frenulum Stimulating Serum 1 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,24.00,,true,true,,,1,Love to Love Make Me Shiver Frenulum Stimulating Serum 1 oz.,false,active
signature-strokers-jenna-jameson-ultraskyn-pocket-pussy,Signature Strokers Jenna Jameson ULTRASKYN Pocket Pussy,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,20.00,,true,true,,,1,Signature Strokers Jenna Jameson ULTRASKYN Pocket Pussy,false,active
zero-tolerance-casual-encounter-stroker-masturbator-tpe-clear,Zero Tolerance Casual Encounter Stroker Masturbator TPE Clear,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,40.00,,true,true,,,1,Zero Tolerance Casual Encounter Stroker Masturbator TPE Clear,false,active
aneros-eupho-syn-v,Aneros Eupho Syn V,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,78.00,,true,true,,,1,Aneros Eupho Syn V,false,active
pdx-elite-fuck-o-matic-rechargeable-vibrating-suction-stroker-with-ball-cradle,PDX Elite Fuck-O-Matic Rechargeable Vibrating Suction Stroker With Ball Cradle,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,117.00,,true,true,,,1,PDX Elite Fuck-O-Matic Rechargeable Vibrating Suction Stroker With Ball Cradle,false,active
pumped-sonicpull-masturbator-suction-vibration-multimedia-enhanced-metallic-red,PUMPED SonicPull Masturbator Suction Vibration Multimedia Enhanced Metallic Red,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,65.00,,true,true,,,1,PUMPED SonicPull Masturbator Suction Vibration Multimedia Enhanced Metallic Red,false,active
the-naughty-and-nice-dates-kit,The Naughty and Nice Dates Kit,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,11.00,,true,true,,,1,The Naughty and Nice Dates Kit,false,active
box-of-dares-100-prompts-for-couples-game,Box of Dares: 100 Prompts for Couples Game,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,8.00,,true,true,,,1,Box of Dares: 100 Prompts for Couples Game,false,active
vers-rechargeable-silicone-g-spot-vibe,VERS Rechargeable Silicone G-spot Vibe,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,30.00,,true,true,,,1,VERS Rechargeable Silicone G-spot Vibe,false,active
me-you-us-bullet-black,Me You Us Bullet Black,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,21.00,,true,true,,,1,Me You Us Bullet Black,false,active
honey-play-box-anello-app-controlled-vibrating-double-cock-ring-with-clitoral-stimulator-black,Honey Play Box Anello App-Controlled Vibrating Double Cock Ring with Clitoral Stimulator Black,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,46.00,,true,true,,,1,Honey Play Box Anello App-Controlled Vibrating Double Cock Ring with Clitoral Stimulator Black,false,active
we-vibe-chorus-couples-vibrator-purple,We-Vibe Chorus Couples Vibrator Purple,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,143.00,,true,true,,,1,We-Vibe Chorus Couples Vibrator Purple,false,active
dame-eva-couples-vibrator-papaya,Dame Eva Couples Vibrator Papaya,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,82.00,,true,true,,,1,Dame Eva Couples Vibrator Papaya,false,active
bang-vibrating-rainbow-butt-plug,BANG! Vibrating Rainbow Butt Plug,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,30.00,,true,true,,,1,BANG! Vibrating Rainbow Butt Plug,false,active
banana-pants-kissi-hot-pink,Banana Pants Kissi Hot Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,26.00,,true,true,,,1,Banana Pants Kissi Hot Pink,false,active
rascal-rammer--suction-7-in-dildo-with-handle-and-suction-cup,Rascal Rammer + Suction 7 in. Dildo with Handle and Suction Cup,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,52.00,,true,true,,,1,Rascal Rammer + Suction 7 in. Dildo with Handle and Suction Cup,false,active
tantus-buoy-c-ring-small-purple,Tantus Buoy C-Ring Small Purple,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,12.00,,true,true,,,1,Tantus Buoy C-Ring Small Purple,false,active
tantus-echo-vibrating-dildo-pearl-white,Tantus Echo Vibrating Dildo Pearl White,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,49.00,,true,true,,,1,Tantus Echo Vibrating Dildo Pearl White,false,active
prowler-red-toppers-the-double-red,Prowler RED Toppers The Double Red,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,13.00,,true,true,,,1,Prowler RED Toppers The Double Red,false,active
b-vibe-beginners-strap-on-harness-set-with-5-in-silicone-dildo-peg,b-Vibe Beginners Strap-On Harness Set with 5 in. Silicone Dildo Peg,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,33.00,,true,true,,,1,b-Vibe Beginners Strap-On Harness Set with 5 in. Silicone Dildo Peg,false,active
lovense-lush-4-bluetooth-remote-controlled-egg-vibrator,Lovense Lush 4 Bluetooth Remote-Controlled Egg Vibrator,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,91.00,,true,true,,,1,Lovense Lush 4 Bluetooth Remote-Controlled Egg Vibrator,false,active
womanizer-next-dark-purple,Womanizer Next Dark Purple,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,150.00,,true,true,,,1,Womanizer Next Dark Purple,false,active
playboy-nubbin-rubbin-rechargeable-dual-stimulator-vibe-silicone-purple,Playboy Nubbin Rubbin Rechargeable Dual Stimulator Vibe Silicone Purple,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,98.00,,true,true,,,1,Playboy Nubbin Rubbin Rechargeable Dual Stimulator Vibe Silicone Purple,false,active
we-vibe-nova-2-rechargeable-flexible-silicone-rabbit-vibrator-pink,We-Vibe Nova 2 Rechargeable Flexible Silicone Rabbit Vibrator Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,104.00,,true,true,,,1,We-Vibe Nova 2 Rechargeable Flexible Silicone Rabbit Vibrator Pink,false,active
dame-aer-suction-toy-periwinkle,Dame Aer Suction Toy Periwinkle,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,82.00,,true,true,,,1,Dame Aer Suction Toy Periwinkle,false,active
lelo-soraya-wave-rechargeable-rabbit-vibrator-deep-rose,LELO SORAYA WAVE Rechargeable Rabbit Vibrator Deep Rose,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,186.00,,true,true,,,1,LELO SORAYA WAVE Rechargeable Rabbit Vibrator Deep Rose,false,active
biird-gii-glow-mint,Biird Gii Glow Mint,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,65.00,,true,true,,,1,Biird Gii Glow Mint,false,active
stockroom-essentials-leather-wrapped-spanking-paddle,Stockroom Essentials Leather Wrapped Spanking Paddle,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,32.00,,true,true,,,1,Stockroom Essentials Leather Wrapped Spanking Paddle,false,active
stud-100-desensitizing-spray-044-oz,Stud 100 Desensitizing Spray 0.44 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,19.00,,true,true,,,1,Stud 100 Desensitizing Spray 0.44 oz.,false,active
kush-queen-harder-gummies-male-enhancement-12-piece-display,Kush Queen Harder Gummies Male Enhancement 12-Piece Display,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,102.00,,true,true,,,1,Kush Queen Harder Gummies Male Enhancement 12-Piece Display,false,active
liquid-love-by-jouir-drink-up-get-down-sweet-sexual-supercharger-12-pack-display,Liquid Love by Jouir Drink Up Get Down Sweet Sexual Supercharger 12-Pack Display,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,156.00,,true,true,,,1,Liquid Love by Jouir Drink Up Get Down Sweet Sexual Supercharger 12-Pack Display,false,active
wicked-simply-timeless-silicone-4-oz,Wicked Simply Timeless Silicone 4 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,24.00,,true,true,,,1,Wicked Simply Timeless Silicone 4 oz.,false,active
jo-renew-vaginal-moisturizer-4-oz,JO Renew Vaginal Moisturizer 4 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,19.00,,true,true,,,1,JO Renew Vaginal Moisturizer 4 oz.,false,active
beloved-intimacy-serum-30-ml,Beloved Intimacy Serum 30 ml,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,33.00,,true,true,,,1,Beloved Intimacy Serum 30 ml,false,active
beloved-intimacy-serum-15-ml,Beloved Intimacy Serum 15 ml,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,20.00,,true,true,,,1,Beloved Intimacy Serum 15 ml,false,active
beloved-lady-libido-boost-supplement,Beloved Lady Libido Boost Supplement,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,26.00,,true,true,,,1,Beloved Lady Libido Boost Supplement,false,active
eye-of-love-bloom-pheromone-massage-candle-lilac-dream-5-oz,Eye of Love Bloom Pheromone Massage Candle Lilac Dream 5 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,17.00,,true,true,,,1,Eye of Love Bloom Pheromone Massage Candle Lilac Dream 5 oz.,false,active
eye-of-love-bloom-pheromone-massage-candle-sunny-daze-5-oz,Eye of Love Bloom Pheromone Massage Candle Sunny Daze 5 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,17.00,,true,true,,,1,Eye of Love Bloom Pheromone Massage Candle Sunny Daze 5 oz.,false,active
eye-of-love-bloom-attract-her-pheromone-parfum-earths-desire-034-oz,Eye of Love Bloom Attract Her Pheromone Parfum Earth's Desire 0.34 oz.,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,17.00,,true,true,,,1,Eye of Love Bloom Attract Her Pheromone Parfum Earth's Desire 0.34 oz.,false,active
